Date,Close
2016-01-04 00:00:00,201.0200043
2016-01-05 00:00:00,201.3600006
2016-01-06 00:00:00,198.8200073
2016-01-07 00:00:00,194.0500031
2016-01-08 00:00:00,191.9199982
2016-01-11 00:00:00,192.1100006
2016-01-12 00:00:00,193.6600037
2016-01-13 00:00:00,188.8300018
2016-01-14 00:00:00,191.9299927
2016-01-15 00:00:00,187.8099976
2016-01-19 00:00:00,188.0599976
2016-01-20 00:00:00,185.6499939
2016-01-21 00:00:00,186.6900024
2016-01-22 00:00:00,190.5200043
2016-01-25 00:00:00,187.6399994
2016-01-26 00:00:00,190.1999969
2016-01-27 00:00:00,188.1300049
2016-01-28 00:00:00,189.1100006
2016-01-29 00:00:00,193.7200012
2016-02-01 00:00:00,193.6499939
2016-02-02 00:00:00,190.1600037
2016-02-03 00:00:00,191.3000031
2016-02-04 00:00:00,191.6000061
2016-02-05 00:00:00,187.9499969
2016-02-08 00:00:00,185.4199982
2016-02-09 00:00:00,185.4299927
2016-02-10 00:00:00,185.2700043
2016-02-11 00:00:00,182.8600006
2016-02-12 00:00:00,186.6300049
2016-02-16 00:00:00,189.7799988
2016-02-17 00:00:00,192.8800049
2016-02-18 00:00:00,192.0899963
2016-02-19 00:00:00,192
2016-02-22 00:00:00,194.7799988
2016-02-23 00:00:00,192.3200073
2016-02-24 00:00:00,193.1999969
2016-02-25 00:00:00,195.5399933
2016-02-26 00:00:00,195.0899963
2016-02-29 00:00:00,193.5599976
2016-03-01 00:00:00,198.1100006
2016-03-02 00:00:00,199
2016-03-03 00:00:00,199.7799988
2016-03-04 00:00:00,200.4299927
2016-03-07 00:00:00,200.5899963
2016-03-08 00:00:00,198.3999939
2016-03-09 00:00:00,199.3800049
2016-03-10 00:00:00,199.5399933
2016-03-11 00:00:00,202.7599945
2016-03-14 00:00:00,202.5
2016-03-15 00:00:00,202.1699982
2016-03-16 00:00:00,203.3399963
2016-03-17 00:00:00,204.6300049
2016-03-18 00:00:00,204.3800049
2016-03-21 00:00:00,204.6699982
2016-03-22 00:00:00,204.5599976
2016-03-23 00:00:00,203.2100067
2016-03-24 00:00:00,203.1199951
2016-03-28 00:00:00,203.2400055
2016-03-29 00:00:00,205.1199951
2016-03-30 00:00:00,206.0200043
2016-03-31 00:00:00,205.5200043
2016-04-01 00:00:00,206.9199982
2016-04-04 00:00:00,206.25
2016-04-05 00:00:00,204.1900024
2016-04-06 00:00:00,206.4199982
2016-04-07 00:00:00,203.9499969
2016-04-08 00:00:00,204.5
2016-04-11 00:00:00,204.0200043
2016-04-12 00:00:00,205.9199982
2016-04-13 00:00:00,208
2016-04-14 00:00:00,208.0099945
2016-04-15 00:00:00,207.7799988
2016-04-18 00:00:00,209.2400055
2016-04-19 00:00:00,209.8999939
2016-04-20 00:00:00,210.1000061
2016-04-21 00:00:00,208.9700012
2016-04-22 00:00:00,208.9700012
2016-04-25 00:00:00,208.6100006
2016-04-26 00:00:00,208.9199982
2016-04-27 00:00:00,209.3500061
2016-04-28 00:00:00,207.4499969
2016-04-29 00:00:00,206.3300018
2016-05-02 00:00:00,207.9700012
2016-05-03 00:00:00,206.1600037
2016-05-04 00:00:00,205.0099945
2016-05-05 00:00:00,204.9700012
2016-05-06 00:00:00,205.7200012
2016-05-09 00:00:00,205.8899994
2016-05-10 00:00:00,208.4499969
2016-05-11 00:00:00,206.5
2016-05-12 00:00:00,206.5599976
2016-05-13 00:00:00,204.7599945
2016-05-16 00:00:00,206.7799988
2016-05-17 00:00:00,204.8500061
2016-05-18 00:00:00,204.9100037
2016-05-19 00:00:00,204.1999969
2016-05-20 00:00:00,205.4900055
2016-05-23 00:00:00,205.2100067
2016-05-24 00:00:00,207.8699951
2016-05-25 00:00:00,209.2799988
